codigo,sensor,nombre,departamen,municipio,zona_hidro,latitud,longitud,categoria,unidad,dpto_cnmbr,mpio_cnmbr,depto_def,compara_dp,compara_mp,mpio_def,geometry,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain,prob_ep
35215030,240,PISBA,BOYACÁ,PISBA,META,5.720555556,-72.48847222,PRECIPITACIÓN,mm,BOYACÁ,PISBA,BOYACÁ,T,T,PISBA,POINT (1176037.8296762267 1124578.2560625563),2025-11-03,0.9,2.5,3.4,15.2,32.300000000000004,149.60000000000002,0.645
23085270,240,AEROPUERTO J.M. CORDOVA,ANTIOQUIA,RIONEGRO,MEDIO MAGDALENA,6.1686111,-75.426111111,PRECIPITACIÓN,mm,ANTIOQUIA,RIONEGRO,ANTIOQUIA,T,T,RIONEGRO,POINT (850724.0849914441 1174072.445884956),2025-11-03,16.0,5.6000000000000005,8.0,18.4,344.4000000000001,536.4000000000001,0.875
35087020,240,PAEZ,BOYACÁ,CAMPOHERMOSO,META,5.082611111,-73.068416667,PRECIPITACIÓN,mm,BOYACÁ,CAMPOHERMOSO,BOYACÁ,T,T,CAMPOHERMOSO,POINT (1111898.5083858406 1053875.6608351434),2025-11-03,0.0,19.7,19.7,19.7,92.70000000000002,225.8,0.685
2311500200,240,PUERTO SERVIEZ,BOYACÁ,PUERTO BOYACÁ,MEDIO MAGDALENA,6.22136,-74.56166,PRECIPITACIÓN,mm,BOYACÁ,PUERTO BOYACÁ,BOYACÁ,T,T,PUERTO BOYACÁ,POINT (946419.1142735388 1179741.530375554),2025-11-03,0.6000000000000001,2.2,4.7,4.7,8.1,17.1,0.645
2120700038,240,SAN FRANCISCO,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.56235,-74.148869,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTÁ D.C,POINT (992081.1220626675 996257.1673662185),2025-11-03,0.0,0.0,0.0,0.0,6.900000000000001,58.00000000000001,0.74
35197020,240,VADO HONDO,BOYACÁ,AQUITANIA,META,5.506805556,-72.75480556,PRECIPITACIÓN,mm,BOYACÁ,AQUITANIA,BOYACÁ,T,T,AQUITANIA,POINT (1146580.38460646 1100859.7515183622),2025-11-03,0.0,0.0,0.0,0.1,0.8,3.5000000000000004,0.6
2120000175,240,COLEGIO LA FELICIDAD,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.656,-74.131111111,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTÁ D.C,POINT (994052.4789290474 1006612.9533947142),2025-11-03,1.1,0.0,0.0,0.0,19.500000000000004,65.8,0.715
24037190,240,SAN RAFAEL,BOYACÁ,TIBASOSA,SOGAMOSO,5.807611111,-73.01380556,PRECIPITACIÓN,mm,BOYACÁ,TIBASOSA,BOYACÁ,T,T,TIBASOSA,POINT (1117813.7462331029 1134072.6377801253),2025-11-03,0.0,0.0,0.0,6.4,27.4,115.6,0.605
52077010,240,PUENTE PUSMEO,NARIÑO,POLICARPA,PATÍA,1.624055556,-77.47891667,PRECIPITACIÓN,mm,NARIÑO,POLICARPA,NARIÑO,T,T,POLICARPA,POINT (621284.3340610071 671665.6650009488),2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.61
21235030,240,UNIVERSIDAD DE CUNDINAMARCA,CUNDINAMARCA,GIRARDOT,ALTO MAGDALENA,4.305333333,-74.80811111,PRECIPITACIÓN,mm,CUNDINAMARCA,GIRARDOT,CUNDINAMARCA,T,T,GIRARDOT,POINT (918895.4089334845 967874.4582443539),2025-11-03,0.0,0.0,0.8999999999999999,1.7999999999999998,42.0,152.39999999999998,0.775
